id	category	default_install	targets
audit-architecture	internal	false	claude,codex,opencode,cursor
audit-logic	internal	false	claude,codex,opencode,cursor
audit-research	internal	false	claude,codex,opencode,cursor
audit-security	internal	false	claude,codex,opencode,cursor
audit-simplification	internal	false	claude,codex,opencode,cursor
audit-triage	internal	false	claude,codex,opencode,cursor
plan-reviewer	internal	false	claude,codex,opencode,cursor
